Cluster;Title
1;"Large language models are changing landscape of academic publications. A positive transformation?; [Jazykové modely mění svět akademických publikací. Je to dobře?]"
1;Cloud Computing Based on Big Data-Driven Robot Walking Route and Real-Time Positioning Intelligent Determination
1;Putting the GDPR into practice: Difficulties and uncertainties experienced in the conduct of big data health research
1;"The Influence of ChatGPT on Library & Information Services; [ChatGPT 对文献情报工作的影响]"
1;CAN WE MAKE ALL LEGAL NORMS INTO LEGAL SYLLOGISMS AND WHY IS THAT IMPORTANT IN TIMES OF ARTIFICIAL INTELLIGENCE?
1;The role of IoT and AI in bioeconomy
1;IMPACT OF THE CONCEPT OF “TECHNOSCIENCE” ON THE GENESIS FEATURES OF THE LEGAL REGULATION OF ARTIFICIAL INTELLIGENCE AND ROBOTICS TECHNOLOGY
1;Artificial intelligence centric scientific research on COVID-19: an analysis based on scientometrics data
1;ChatGPT and the rise of large language models: the new AI-driven infodemic threat in public health
1;Navigating the Future and Overcoming Challenges to Unlock Open Science
1;The materials tetrahedron has a “digital twin”
1;Ethically governing artificial intelligence in the field of scientific research and innovation
1;The impact of Artificial Intelligence in academia: Views of Turkish academics on ChatGPT
1;MEASURING THE INNOVATION IMPACT OF SCIENTIFIC RESEARCH: EXPLORING THE POTENTIALS OF AI
1;The Potential and Concerns of Using AI in Scientific Research: ChatGPT Performance Evaluation
1;"How to improve the impact of healthcare campaigns by introducing methods of health impact assessment among students and health professionals; [Cómo mejorar el impacto de las campañas de salud mediante la introducción de métodos de evaluación del impacto en la salud entre estudiantes y profesionales de la salud]"
1;"Impact and challenges of ChatGPT on medical science research management; [ChatGPT技术对医学科研管理的影响与挑战]"
1;Study of digital approach in education and psychology among selected users in Ukraine
1;Meta-Narrative Review of Artificial Intelligence Applications in Fire Engineering with Special Focus on Heat Transfer through Building Elements
1;Enabling scientific research using an interdisciplinary virtual observatory: The virtual solar-terrestrial observatory example
1;Web Intelligence and Artificial Intelligence in Education
1;Web Intelligence (WI): What makes wisdom web?
1;UAS curriculum for students using an active learning approach
1;Complex systems modeling with intelligent control elements
1;Impact-based cost-benefit analysis model for management of crude oil contaminated agricultural soil
1;Artificial Scientific Intelligence and its Impact on National Security and Foreign Policy
1;Web Intelligence research activities in the UK
1;Web intelligence: A new paradigm for virtual communities and web science
1;Artificial intelligence and international norms
1;Data acquisition and control architecture for intelligent robotic exoskeletons in rehabilitation
2;Multi- and hyperspectral imaging of plants and their properties by means of highly integrated and MEMS based systems
2;"Lookahead Analysis and Discussion of Research Hotspots in Artificial Intelligence from 2021 to 2023; [2021 至 2023 年人工智能领域研究热点分析述评与展望]"
2;Implementation of artificial intelligence in the prediction of the elastic characteristics of bio-loaded polypropylene with bamboo fibers
2;Design Intelligent Manufacturing Teaching Experiments with Machine Learning
2;"Artificial Intelligence, Higher Education, and Public Engagement.; [INTELIGENCIA ARTIFICIAL, EDUCACIÓN SUPERIOR Y VINCULACIÓN CON EL MEDIO.]"
2;A Survey of Deep Learning Techniques and Applications in Bioengineering: A Latin American Perspective
2;Can urban design be a science for health studies?
2;Evaluation of the impact of large language learning models on articles submitted to Orthopaedics & Traumatology: Surgery & Research (OTSR): A significant increase in the use of artificial intelligence in 2023
2;Research on mutant proteins based on alphafold model
2;Mixing artificial and natural intelligence: from statistical mechanics to AI and back to turbulence
2;"Advances in Preparation of Boron Nitride Ceramic Fiber via Polymer-Derived Ceramics; [先驱体转化法制备氮化硼陶瓷纤维研究进展]"
2;Machine Learning Algorithms in Rock Strength Prediction: A Novel Method for Evaluating Dynamic Compressive Strength of Rocks under Freeze-Thaw Cycles
2;Challenges and Potential of Artificial Intelligence in Neuroradiology
2;Foliar Nitrogen Estimation with Artificial Intelligence and Technological Tools: State of the Art and Future Challenges
2;Analysing Red Wine Quality Data Exploratorily using Support Vector Machines and Other Machine Learning Methods
2;Impacts of inter-institutional mobility on scientific performance from research capital and social capital perspectives
2;How Artificial Intelligence in Imaging Can Better Serve Patients with Bronchial and Parenchymal Lung Diseases?
2;Problems of Regulation and Prospective Development of E-commerce Systems in the Post-coronavirus Era
2;Artificial Intelligence Applications for Traumatic Brain Injury Research and Clinical Management
2;Analysis on the application of artificial intelligence technology in electronic music composition creation
2;Gender Differences and Bias in Artificial Intelligence
2;9th International Conference on Signal and Information Processing, Network and Computers, ICSINC 2021
2;FEATURES OF ARTIFICIAL INTELLIGENCE TECHNOLOGIES AND THEIR USE AND IMPACT ON TRANSFORMATION IN THE BANKING SECTOR
2;Topic selecting approach of academic journals based on research focus
2;The 26th Annual Prostate Cancer Foundation Scientific Retreat Report
2;Artificial Leadership: Digital Transformation as a Leadership Task between the Chief Digital Officer and Artificial Intelligence
2;"Thoughts on the Development of Frontier Technology in Electrical Engineering; [关于电工学科前沿技术发展的若干思考]"
2;"Rural revitalization strategy and disciplinary innovation of agricultural engineering; [乡村振兴与农业工程学科创新]"
2;Digital Scientist 2035—An Outlook on Innovation and Education
2;The Impact of Digitalization on Modern Marketing Strategies and Business Practices (Transformation)
2;Updated Systematic Review on the Role of Brain Invasion in Intracranial Meningiomas: What, When, Why?
2;Expert insights on the impacts of, and potential for, agricultural big data
2;"Research progress of intelligent drilling equipment and technology; [智能钻井装备与技术研究进展]"
2;"Fair Machine Learning: Concepts, Analysis, and Design; [公平机器学习:概念, 分析与设计]"
2;How Start-ups and Established Organisations Together Can Drive Meaningful Healthcare Innovation in Personalised Medicine and AI
2;"Some Remarks on a Book Regarding the Impact of Digital Technologies on Fundamental Rights; [Alcune osservazioni su un volume concernente l’impatto delle tecnologie digitali sui diritti fondamentali]"
2;Problem Solving and Algorithm Research of the Integration of News Media Gathering and Editing Based on Artificial Intelligence
2;Improved prediction of harmful algal blooms in four major South Korea’s rivers using deep learning models
2;2014 3rd International Conference on Intelligent System and Applied Material, GSAM 2014
2;Breast density into clinical practice
2;Missing data imputation by K nearest neighbours based on grey relational structure and mutual information
2;Knowledge-based systems - Remarks on the philosophy of technology and artificial intelligence
2;Facilitating the Process of Enabling Applications Within Grid Portals
2;"Evaluation of scientific research performance in agricultural universities based on normal cloud model; [中国高等农业院校科研绩效评价研究- 基于正态云模型的实证]"
2;Agent technology and generic workflow management in an e-science environment
3;How Will Artificial Intelligence (AI) Evolve Organizational Leadership? Understanding the Perspectives of Technopreneurs
3;"On the Research of Climate-Smart Forestry; [关于“气候智慧林业”研究的思考]"
3;Predicting the technological impact of papers: Exploring optimal models and most important features
3;AI readiness enablers in developed and developing economies: Findings from the XGBoost regression and explainable AI framework
3;The state of artificial intelligence in medical research: A survey of corresponding authors from top medical journals
3;Toward Green AI: A Methodological Survey of the Scientific Literature
3;"Analysis of the current status of research on accuracy traceability based on computational holographic detection technology(inner cover paper); [计算全息检测技术的精度溯源研究现状分析（内封面文章）]"
3;Textual features of peer review predict top-cited papers: An interpretable machine learning perspective
3;Human cognition and emotions for human-centred design in vertical interior urban spaces
3;Analysis of social metrics on scientific production in the field of emotion-aware education through artificial intelligence
3;Transfer learning model for plant disease detection using VGG-16 on tomato crop
3;INTEGRATING ADAPTIVE ARTIFICIAL INTELLIGENCE FOR RENEWABLE ENERGY FORECASTING: ANALYSIS OF SCIENTIFIC RESEARCH
3;"The Causal Effects of the Diversity of Scientific Collaboration on Paper Novelty; [因果推断视角下科研合作多样性和文献新颖性间关系研究]"
3;Advancing aquaculture biosecurity: a scientometric analysis and future outlook for disease prevention and environmental sustainability
3;Artificial intelligence in the smart city - a literature review
3;A Study of the Impact of Integrating Artificial Intelligence with the Archival Profession under Data Mining
3;What Environmental Metrics Are Used in Scientific Research to Estimate the Impact of Human Diets?
3;Generative artificial intelligence and academic writing: an analysis of the perceptions of researchers in training
3;Application of K-means clustering based on artificial intelligence in gene statistics of biological information engineering
3;Knowledge Combination Analysis Reveals That Artificial Intelligence Research Is More Like “Normal Science” Than “Revolutionary Science”
3;Alzheimer’s disease, and breast and prostate cancer research: Translational failures and the importance to monitor outputs and impact of funded research
3;What Information on Volatile Organic Compounds Can Be Obtained from the Data of a Single Measurement Site Through the Use of Artificial Intelligence?
3;Scientific Exploration and Explainable Artificial Intelligence
3;Utilizing Out-Domain Datasets to Enhance Multi-task Citation Analysis
3;A Comparison Study of Measures to Quantify the Evolution of Prolific Research Teams
3;An Intelligent Report Generator for Chemical Documents
3;Investigating the new orientation of wound age estimation in forensic medicine based on biological omics data combined with artificial intelligence algorithms
3;Impact of a staggered scaffold structure on the mechanical properties and cell response in bone tissue engineering
3;Measuring Academic Representative Papers Based on Graph Autoencoder Framework
3;A Systematic Literature Review on the Role of Artificial Intelligence in Entrepreneurial Activity
3;QuPath: The global impact of an open source digital pathology system
3;Causal inference in the age of big data: blind faith in data and technology
3;Impact of COVID-19 on Knowledge Management: The Double Edged Sword of Big Data
3;"Big Data in mechanical research: Potentials, applications and challenges; [力学研究中""大数据""的启示, 应用与挑战]"
3;Argumentative SOX compliant and intelligent decision support systems for the suppliers contracting process
3;"Virtual Geographic Cognition Experiment in Big Data Era; [大数据背景下的虚拟地理认知实验方法]"
3;Constructing the cloud computing system for advanced data analysis of biomedical research
3;Mining open government data used in scientific research
3;Demonstration of a multi-agent simulation of the impact of culture on international trade
3;Federated machine learning for multi-domain operations at the tactical edge
3;“A Game Without Competition Is Hardly a Game”: The Impact of Competitions on Player Activity in a Human Computation Game
3;Decision support and risk management in business context
4;AI for organic and polymer synthesis
4;SmartCADD: AI-QM Empowered Drug Discovery Platform with Explainability
4;Mapping Artificial Intelligence Integration in Education: A Decade of Innovation and Impact (2013-2023) - A Bibliometric Analysis
4;The co-evolution of computational physics and high-performance computing
4;The impact of artificial intelligence on scientific practices: an emergent area of research for science education
4;Ethical dimensions of generative AI: a cross-domain analysis using machine learning structural topic modeling
4;The environmental impact of AI in the lab: a double-edged sword?
4;Machine learning models for predicting geomagnetic storms across five solar cycles using Dst index and heliospheric variables
4;Modeling challenges for Industry 4.0 implementation in new energy systems towards carbon neutrality: Implications for impact assessment policy and practice in emerging economies
4;Research trends of computational toxicology: a bibliometric analysis
4;Current state, development and peculiarities of Chinese Smart Courts
4;Trust Issues: Discrepancies in Trustworthy AI Keywords Use in Policy and Research
4;The impact of perceived experience with ChatGPT on online consumers' information searching behavior: an empirical study of Iranian college students
4;Automatic Generation of Multimedia Teaching Materials Based on Generative AI: Taking Tang Poetry as an Example
4;Quantifying the use and potential benefits of artificial intelligence in scientific research
4;Riparian restoration in sandy zones with alfalfa as pioneer plant in initial stage of soil and water bioengineering
4;Research on artificial intelligence-based mountain mineral composition detection and big data chemistry education
4;"SUBJECTNESS OF DIGITAL COMMUNICATION IN THE CONTEXT OF THE TECHNOLOGICAL EVOLUTION OF THE CONTEMPORARY SOCIETY: THREATS, CHALLENGES, AND RISKS1; [TEMATYKA KOMUNIKACJI CYFROWEJ W KONTEKŚCIE EWOLUCJI TECHNOLOGICZNEJ WSPÓŁCZESNEGO SPOŁECZEŃSTWA:]"
4;Artificial Intelligence in Established of Industry 4.0
4;Evolution of Artificial Intelligence-Powered Technologies in Biomedical Research and Healthcare
4;Impacts of Attitudes Toward Government and Corporations on Public Trust in Artificial Intelligence
4;Friendliness of Preschool Children’s Community Public Space Based on Multidimensional Perspectives under the Background of Wireless Communication and Artificial Intelligence
4;Leveraging Artificial Intelligence to Enhance Leadership Decision-Making and Organizational Performance
4;A Conversation with ChatGPT about the Impact of the COVID-19 Pandemic on Education: Comparative Review Based on Human–AI Collaboration
4;Analyzing predictive approaches in martial arts research
4;Evolution Towards Quantum Metrology and the Action Agenda for Developing IT-Enabled Metrology
4;Application of Computer Information Processing Technology in Teaching Management Information System of Colleges and Universities
4;The Quintessence of Basic and Clinical Research and Scientific Publishing
4;Supporting responsible machine learning in heliophysics
4;"Academic expression: Development trends of scientific articles driven by technology; [学术与表达: 技术驱动下的科技论文发展趋势]"
4;Roman Słowiński and His Research Program: Intelligent Decision Support Systems Between Operations Research and Artificial Intelligence
4;Employment Risks of Artificial Intelligence Tape and Education Response
4;A Conversation with ChatGPT about Digital Leadership and Technology Integration: Comparative Analysis Based on Human–AI Collaboration
4;Big Data in bioinformatics
4;Deep learning for quantitative cardiac MRI
4;"Man and technology: Ambivalence of digital culture; [Человек и Техника: Амбивалентность электронной культуры]"
4;"Notice of Retraction: The impact of project leader's quot;lobbying behavior"" on scientific research project decisions"
4;Notice of Retraction: Brief analysis on the graduate education within u-learning environment
5;Enhancing water quality prediction for fluctuating missing data scenarios: A dynamic Bayesian network-based processing system to monitor cyanobacteria proliferation
5;Towards a science exocortex
5;Engaging Citizen Scientists in Biodiversity Monitoring: Insights from the WildLIVE! Project
5;Pathological changes or technical artefacts? The problem of the heterogenous databases in COVID-19 CXR image analysis
5;Emerging technologies in citizen science and potential for insect monitoring
5;"The role of the university in the social development of science and technology in the 21st century; [EL ROL DE LAUNIVERSIDADENEL DESARROLLOSOCIAL DE LACIENCIAYLATECNOLOGÍAENEL SIGLOXXI]"
5;Impact of artificial intelligence in managing complications in pregnancy and childbirth
5;Pasteur’s quadrant in AI: do patent-cited papers have higher scientific impact?
5;Longform Multimodal Lay Summarization of Scientific Papers: Towards Automatically Generating Science Blogs from Research Articles
5;Designing Infographics: Visual Representations for Enhancing Education, Communication, and Scientific Research
5;Blockchain 3.0 for sustainable healthcare
5;Identification of Key Audience Groups Based on Maximizing Influence
5;Improving accessibility of scientific research by artificial intelligence—An example for lay abstract generation
5;The Meta-Metaverse: Ideation and Future Directions
5;The impact of artificial intelligence on employment before and during pandemic: A comparative analysis
5;Machine Learning for Whole-Building Life Cycle Assessment: A Systematic Literature Review
5;Flagship Projects for Accelerating R&D During the COVID-19 Period in Kuwait
5;Critical analysis of the impact of artificial intelligence integration with cutting-edge technologies for production systems
5;How Virtual Reality Influenced EmotionalWell-being Worldwide During the Covid-19 Pandemics
5;Numerical study of the speed’s response of the various intelligent models using the tansig, logsig and purelin activation functions in different layers of artificial neural network
5;"The development and consideration of typhoon forecast operation of National Meteorological Center; [中央气象台台风预报业务的发展及思考]"
5;A Bibliometric Analysis of Fintech Trends: An Empirical Investigation
5;The Top 100 Articles in the Medical Informatics: a Bibliometric Analysis
5;Limit cycle stabilizing receding-horizon controller for the planar biped rabbit
5;Analysis of web mining technology and their impact on semantic web
5;Understanding artefacts related to human aspects: The case of information technology and systems
5;Towards use of grids in environmental research, management and policy
